model,threshold,precision,recall,f1,roc_auc,pr_auc,true_positives,false_positives,false_negatives,true_negatives
Random Forest,0.5,1.0,0.9967532467532467,0.9983739837398374,0.999571999133655,0.9979019002340046,1228,0,4,953161
XGBoost,0.5,1.0,0.9959415584415584,0.9979666531110207,0.999740149478297,0.9982781840520176,1227,0,5,953161
