experiment,features,precision,recall,f1,roc_auc,pr_auc,true_positives,false_positives,false_negatives,true_negatives,training_minutes
F_add_step,"step, type, amount, oldbalanceOrg, oldbalanceDest, amount_to_orig_balance",1.0,0.9997503744383425,0.9998751716389964,0.9999999989082765,0.9999997509969459,4005,0,1,914611,1.5501495997111003
H_amount_ratio_only,"amount, oldbalanceOrg, amount_to_orig_balance",1.0,0.9997503744383425,0.9998751716389964,0.9998347628844669,0.9997514630313034,4005,0,1,914611,1.3220738212267558
E_add_ratio,"type, amount, oldbalanceOrg, oldbalanceDest, amount_to_orig_balance",1.0,0.9997503744383425,0.9998751716389964,0.9999999948143138,0.9999988216433114,4005,0,1,914611,1.5706902027130127
D_add_oldbalanceDest,"type, amount, oldbalanceOrg, oldbalanceDest",0.9785059901338972,0.6932101847229156,0.8115137346580947,0.9984805639112593,0.8853799082810138,2777,61,1229,914550,1.4804850141207377
G_no_step_no_ratio,"type, amount, oldbalanceOrg, oldbalanceDest",0.9785059901338972,0.6932101847229156,0.8115137346580947,0.9984805639112593,0.88537990759884,2777,61,1229,914550,1.4727279822031656
C_add_oldbalanceOrg,"type, amount, oldbalanceOrg",0.9952,0.46580129805292064,0.634585954769597,0.9992385929230373,0.9032533431987284,1866,9,2140,914602,1.4181391676266988
B_type_amount,"type, amount",0.989247311827957,0.13779331003494757,0.24189307624890447,0.916765614973126,0.2418711460798548,552,6,3454,914605,1.9291245500246683
A_type_only,type,0.0,0.0,0.0,0.8515890908812598,0.017613281515118654,0,0,4006,914611,0.6866899092992147
